question,ground_truth_answer,source_document,supporting_context,topic
16. Should I wear a mask to protect myself from catching the COVID-19 virus?,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so WHO urges people to use masks wisely. WHO advises rational use of medical masks to avoid unnecessary wastage of precious resources and mis-use of masks (see Advice on the use of masks). The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. See basic protective measures against the new coronavirus for more information.",COVID19_FAQ,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so WHO urges people to use masks wisely. WHO advises rational use of medical masks to avoid unnecessary wastage of precious resources and mis-use of masks (see Advice on the use of masks). The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. See basic protective measures against the new coronavirus for more information.",prevention
What may be a likely cause of sink-to-sink spreading of pathogens in the hospital setting?,via a common sanitary pipe,COVID-QA_MASTER,"Spread from the Sink to the Patient: In Situ Study Using Green Fluorescent Protein (GFP)-Expressing Escherichia coli To Model Bacterial Dispersion from Hand-Washing Sink-Trap Reservoirs https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5377511/ SHA: 615071c8c959f24857b1bad521cc432b59719bfb Authors: Kotay, Shireen; Chai, Weidong; Guilford, William; Barry, Katie; Mathers, Amy J. Date: 2017-03-31 DOI: 10.1128/aem.03327-16 License: cc-by Abstract: There have been an increasing number of reports implicating Gammaproteobacteria as often carrying genes of drug resistance from colonized sink traps to v",transmission
1. How does COVID-19 spread?,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.",COVID19_FAQ,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.",transmission
What role B-cell play in malaria infection and prevention?,"Rare memory B cells producing antibodies specific for the EBV fusion machinery have been isolated; these can neutralize both B cell and epithelial cell infection (20). A new paradigm in malaria vaccine development is also emerging with the discovery of IgM+ and IgD+ memory B cells targeting the Merozoite Surface Protein 1, that rapidly respond to malaria re-infection",COVID-QA_MASTER,"Techniques to Study Antigen-Specific B Cell Responses https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6667631/ SHA: ee632fa425607e8ff91fc3730bc0782d43ce9c0c Authors: Boonyaratanakornkit, Jim; Taylor, Justin J. Date: 2019-07-24 DOI: 10.3389/fimmu.2019.01694 License: cc-by Abstract: Antibodies against foreign antigens are a critical component of the overall immune response and can facilitate pathogen clearance during a primary infection and also protect against subsequent infections. Dysregulation of the antibody response can lead to an autoimmune disease, malignancy, or enhanced infection. Sin",prevention
How do I know if a respirator is falsely advertising NIOSH-approval?,"When NIOSH becomes aware of counterfeit respirators or those misrepresenting NIOSH approval on the market, these respirators are posted on the Counterfeit Respirators / Misrepresentation of NIOSH-Approval webpage to alert users, purchasers, and manufacturers.",COUGH_FAQ_BANK,"When NIOSH becomes aware of counterfeit respirators or those misrepresenting NIOSH approval on the market, these respirators are posted on the Counterfeit Respirators / Misrepresentation of NIOSH-Approval webpage to alert users, purchasers, and manufacturers.",myths
13. Are antibiotics effective in preventing or treating COVID-19?,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others.",COVID19_FAQ,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others.",prevention
What type of pertussis vaccine has been recently recommended by the WHO?,whole cell pertussis vaccines,COVID-QA_MASTER,"Population-Based Pertussis Incidence and Risk Factors in Infants Less Than 6 Months in Nepal https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5907881/ SHA: ef821e34873d4752ecae41cd9dfc08a5e6db45e2 Authors: Hughes, Michelle M; Englund, Janet A; Kuypers, Jane; Tielsch, James M; Khatry, Subarna K; Shrestha, Laxman; LeClerq, Steven C; Steinhoff, Mark; Katz, Joanne Date: 2017-03-01 DOI: 10.1093/jpids/piw079 License: cc-by Abstract: BACKGROUND: Pertussis is estimated to cause 2 percent of childhood deaths globally and is a growing public health problem in developed countries despite high vaccination",vaccination
4. Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,COVID19_FAQ,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,transmission
What causes Q fever?,Coxiella burnetii (C. burnetii),COVID-QA_MASTER,"A super-spreading ewe infects hundreds with Q fever at a farmers' market in Germany https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1618839/ SHA: ee1b5a9618dcc4080ed100486cedd0969e80fa4d Authors: Porten, Klaudia; Rissland, Jürgen; Tigges, Almira; Broll, Susanne; Hopp, Wilfried; Lunemann, Mechthild; van Treeck, Ulrich; Kimmig, Peter; Brockmann, Stefan O; Wagner-Wiening, Christiane; Hellenbrand, Wiebke; Buchholz, Udo Date: 2006-10-06 DOI: 10.1186/1471-2334-6-147 License: cc-by Abstract: BACKGROUND: In May 2003 the Soest County Health Department was informed of an unusually large number of patie",symptoms
"What measures will be taken to ensure adequate physical distancing is maintained during fire drills, false alarms, or actual emergencies in DND/CAF facilities?","In the event of a fire or building evacuation (drills, alarms or otherwise) all staircases may be used in the down direction to permit personnel to exit the building quickly and in an orderly fashion. Personnel are encouraged to maintain the two-metre physical distancing if possible and only if it does not impede safe evacuation.",COUGH_FAQ_BANK,"In the event of a fire or building evacuation (drills, alarms or otherwise) all staircases may be used in the down direction to permit personnel to exit the building quickly and in an orderly fashion. Personnel are encouraged to maintain the two-metre physical distancing if possible and only if it does not impede safe evacuation.",myths
"I tested positive 2 weeks ago, was feeling better but now my symptoms are worsening, is this normal? What should I do?","It is not unusual for symptoms to worsen the second or third week after improving or going away. If you develop any of these emergency warning signs for the disease, you should seek medical attention immediately: Trouble breathing Persistent pain or pressure in the chest New confusion or inability to arouse Bluish lips or face Call 911 if you have a medical emergency. Notify the operator that you have or think you might have COVID-19. If possible, put on a mask or cloth face covering before medical help arrives.",COUGH_FAQ_BANK,"It is not unusual for symptoms to worsen the second or third week after improving or going away. If you develop any of these emergency warning signs for the disease, you should seek medical attention immediately: Trouble breathing Persistent pain or pressure in the chest New confusion or inability to arouse Bluish lips or face Call 911 if you have a medical emergency. Notify the operator that you have or think you might have COVID-19. If possible, put on a mask or cloth face covering before medical help arrives.",symptoms
Does AHCCCS have a centralized resource for members who have general questions or are experiencing flu-like symptoms?,"Yes. AHCCCS has created a web page to address Medicaid-related questions from providers and contractors about COVID-19 at azahcccs.gov/AHCCCS/AboutUs/covid19. For ACC Health Plan members experiencing symptoms: Call the 24-hour Nurse Line for your Health Plan. The Health Plans’ 24/7 Nurse Line numbers are posted on the AHCCCS COVID-19 web page. For FFS Members, including those enrolled in the American Indian Health Program (AIHP), Tribal ALTCS, or a Tribal Regional Behavioral Health Authority (TRBHA): Please contact the nearest American Indian Medical Home (AIMH) 24-hour Nurse Line, your doctor, or the nearest IHS/638 facility. The AIMH Nurse Line phone numbers are posted on the AHCCCS COVID-19 web page.",COUGH_FAQ_BANK,"Yes. AHCCCS has created a web page to address Medicaid-related questions from providers and contractors about COVID-19 at azahcccs.gov/AHCCCS/AboutUs/covid19. For ACC Health Plan members experiencing symptoms: Call the 24-hour Nurse Line for your Health Plan. The Health Plans’ 24/7 Nurse Line numbers are posted on the AHCCCS COVID-19 web page. For FFS Members, including those enrolled in the American Indian Health Program (AIHP), Tribal ALTCS, or a Tribal Regional Behavioral Health Authority (TRBHA): Please contact the nearest American Indian Medical Home (AIMH) 24-hour Nurse Line, your doctor, or the nearest IHS/638 facility. The AIMH Nurse Line phone numbers are posted on the AHCCCS COVID-19 web page.",symptoms
Can primary care physicians and pediatricians outreach to their patients to provide preventive medicine counseling via telehealth (including telephonic) during the COVID-19 emergency?,"Yes, providers are encouraged to outreach to patients to ensure their care needs are being met during the emergency. Information on what billing codes can be used for preventive medicine counseling are listed on the Medical Coding Resource web page.",COUGH_FAQ_BANK,"Yes, providers are encouraged to outreach to patients to ensure their care needs are being met during the emergency. Information on what billing codes can be used for preventive medicine counseling are listed on the Medical Coding Resource web page.",prevention
How many surgical masks or respirators have past studies projected will be required for a pandemic in the United States?,an estimated 7.3 billion,COVID-QA_MASTER,"Preparation for Possible Sustained Transmission of 2019 Novel Coronavirus Lessons From Previous Epidemics https://jamanetwork.com/journals/jama/fullarticle/2761285 February 11, 2020 David L. Swerdlow, MD1; Lyn Finelli, DrPH, MS2 Author Affiliations Article Information JAMA. 2020;323(12):1129-1130. doi:10.1001/jama.2020.1960 COVID-19 Resource Center related articles icon Related Articles author interview icon Interviews Audio Interview (25:53) COVID-19 Update From China Transmissibility and severity are the 2 most critical factors that determine the effect of an epidemic. Neither the 2009 pande",prevention
What about face covers for those who are hearing impaired and rely on reading lips to communicate?,"The National Association of the deaf offers suggestions to aid communication for the deaf or hard of hearing. Some alternatives for persons with hearing loss include using print-outs, a dry-erase board, or pen and paper to communicate; apps like Google LiveTranscribe; or FaceTime/video calls where you ask the doctor to go to their office where they can safely remove their mask and talk with you via videophone, or have them text/email.",COUGH_FAQ_BANK,"The National Association of the deaf offers suggestions to aid communication for the deaf or hard of hearing. Some alternatives for persons with hearing loss include using print-outs, a dry-erase board, or pen and paper to communicate; apps like Google LiveTranscribe; or FaceTime/video calls where you ask the doctor to go to their office where they can safely remove their mask and talk with you via videophone, or have them text/email.",transmission
2. What are the most common myths about COVID-19 that physicians should dispel for patients?,"Misinformation about COVID-19 is being shared across social media and other platforms at alarming speed. Physicians will want to address common myths on the spread of the virus, prevention efforts, treatment options and potential cures that could negatively impact patient health. Read the biggest misconceptions.",COUGH_FAQ_BANK,"Misinformation about COVID-19 is being shared across social media and other platforms at alarming speed. Physicians will want to address common myths on the spread of the virus, prevention efforts, treatment options and potential cures that could negatively impact patient health. Read the biggest misconceptions.",myths
What symptoms are associated with acute respiratory infections?,"sore throat, fever, couch, running nose, vomiting, body ache, leg pain, nausea, chills, shortness of breath",COVID-QA_MASTER,"Etiology of respiratory tract infections in the community and clinic in Ilorin, Nigeria https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719735/ SHA: f2e835d2cde5f42054dbd0c20d4060721135c518 Authors: Kolawole, Olatunji; Oguntoye, Michael; Dam, Tina; Chunara, Rumi Date: 2017-12-07 DOI: 10.1186/s13104-017-3063-1 License: cc-by Abstract: OBJECTIVE: Recognizing increasing interest in community disease surveillance globally, the goal of this study was to investigate whether respiratory viruses circulating in the community may be represented through clinical (hospital) surveillance in Nigeria. RESU",symptoms
Is there a vaccine?,Not currently. There is currently no vaccine to protect against COVID-19. The best way to prevent infection is to avoid exposure to the virus.,COUGH_FAQ_BANK,Not currently. There is currently no vaccine to protect against COVID-19. The best way to prevent infection is to avoid exposure to the virus.,vaccination
2. What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but dont develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.",COVID19_FAQ,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but dont develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.",symptoms
How long can a person spread COVID-19?,"At this time, it appears that persons can shed SARSCoV 2 virus about 2 days before becoming ill and up to 8 days after symptoms onset. CDC has recently changed the home isolation for known cases of COVID 19 due to this updated information. It is now known that persons can be asymptomatic with COVID 19. So, it is important that persons continue measures including social distancing, respiratory hygiene, and the use of cloth face coverings in persons 2 years of age and older to reduce the spread of this virus. health officials do not know when someone with COVID-19 becomes contagious.",COUGH_FAQ_BANK,"At this time, it appears that persons can shed SARSCoV 2 virus about 2 days before becoming ill and up to 8 days after symptoms onset. CDC has recently changed the home isolation for known cases of COVID 19 due to this updated information. It is now known that persons can be asymptomatic with COVID 19. So, it is important that persons continue measures including social distancing, respiratory hygiene, and the use of cloth face coverings in persons 2 years of age and older to reduce the spread of this virus. health officials do not know when someone with COVID-19 becomes contagious.",transmission
What kind of pertussis vaccine is used in middle and high income countries?,acellular,COVID-QA_MASTER,"Population-Based Pertussis Incidence and Risk Factors in Infants Less Than 6 Months in Nepal https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5907881/ SHA: ef821e34873d4752ecae41cd9dfc08a5e6db45e2 Authors: Hughes, Michelle M; Englund, Janet A; Kuypers, Jane; Tielsch, James M; Khatry, Subarna K; Shrestha, Laxman; LeClerq, Steven C; Steinhoff, Mark; Katz, Joanne Date: 2017-03-01 DOI: 10.1093/jpids/piw079 License: cc-by Abstract: BACKGROUND: Pertussis is estimated to cause 2 percent of childhood deaths globally and is a growing public health problem in developed countries despite high vaccination",vaccination
Are there any vaccines against to protect against respiratory viral infections?,"Currently, there are no approved vaccines or medications available for most of the respiratory viruses",COVID-QA_MASTER,"A 3-year prospective study of the epidemiology of acute respiratory viral infections in hospitalized children in Shenzhen, China https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181804/ SHA: ef5fe7296ec8baf90d974cf5737af0da3ed403ea Authors: He, Ying; Lin, Guang-Yu; Wang, Qiong; Cai, Xiao-Ying; Zhang, Yin-Hui; Lin, Chuang-Xing; Lu, Chang-Dong; Lu, Xue-Dong Date: 2014-05-14 DOI: 10.1111/irv.12257 License: cc-by Abstract: BACKGROUND: The epidemiology of local viral etiologies is essential for the management of viral respiratory tract infections. Limited data are available in China to describe th",vaccination
What is the global coverage of influenza and pneumonia vaccines?,"By the end of 2015, Haemophilus influenzae type B conjugate vaccination had been introduced in 73 countries, with global coverage estimated at 68%. However, inequities are still apparent among regions: in the Americas coverage is estimated at 90%, while in the Western Pacific it is only 25%. By 2015, pneumococcal conjugate vaccination had been introduced into 54 countries, with global coverage of 35% for three doses of pneumococcal conjugate vaccination for infant populations",COVID-QA_MASTER,"Community-acquired pneumonia in children — a changing spectrum of disease https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5608782/ SHA: eecb946b106a94f26a79a964f0160e8e16f79f42 Authors: le Roux, David M.; Zar, Heather J. Date: 2017-09-21 DOI: 10.1007/s00247-017-3827-8 License: cc-by Abstract: Pneumonia remains the leading cause of death in children outside the neonatal period, despite advances in prevention and management. Over the last 20 years, there has been a substantial decrease in the incidence of childhood pneumonia and pneumonia-associated mortality. New conjugate vaccines against Hae",vaccination
6. I am well and asymptomatic. Should I use a mask?,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons. However, masks might be worn in some countries according to local cultural habits. If masks are used, best practices should be followed on how to wear, remove, and dispose of them and on hand hygiene action after removal. For more information, visit the WHO guidance on use of masks in the community.",COVID19_FAQ,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons. However, masks might be worn in some countries according to local cultural habits. If masks are used, best practices should be followed on how to wear, remove, and dispose of them and on hand hygiene action after removal. For more information, visit the WHO guidance on use of masks in the community.",symptoms
Should hepatitis A and hepatitis B vaccines continue to be administered to adults at risk for hepatitis A or hepatitis B?,"Yes. Continue to administer these vaccines if an in-person visit must be scheduled for some other purpose and the clinical preventive service can be delivered during that visit with no additional risk; or an individual patient and their clinician believe that there is a compelling need to receive the service based on an assessment that the potential benefit outweighs the risk of exposure to SARS-CoV-2 virus. For more information see Delivery of Adult Clinical Preventive Services, Including Immunizations.",COUGH_FAQ_BANK,"Yes. Continue to administer these vaccines if an in-person visit must be scheduled for some other purpose and the clinical preventive service can be delivered during that visit with no additional risk; or an individual patient and their clinician believe that there is a compelling need to receive the service based on an assessment that the potential benefit outweighs the risk of exposure to SARS-CoV-2 virus. For more information see Delivery of Adult Clinical Preventive Services, Including Immunizations.",vaccination
"What are the recommendations for individuals, especially vulnerable persons, in slowing the spread of COVID-19?","The following are recommendations for individuals under the Safer at Home health order: Minimizing travel outside the home, especially if sick. Wearing face coverings around people from other households when it is necessary to leave the home. Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces Refraining from touching one's face. Sneezing or coughing into a tissue, or the inside of one's elbow. Disinfecting frequently used items and surfaces as much as possible.",COUGH_FAQ_BANK,"The following are recommendations for individuals under the Safer at Home health order: Minimizing travel outside the home, especially if sick. Wearing face coverings around people from other households when it is necessary to leave the home. Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces Refraining from touching one's face. Sneezing or coughing into a tissue, or the inside of one's elbow. Disinfecting frequently used items and surfaces as much as possible.",transmission
